stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
414,414,Watson at York southbound,Watson Road South,43.564504,-80.20545,,,,,,0
415,415,Watson at Airpark southbound,Watson Road South,43.562432,-80.202535,,,,,,0
416,416,Watson at Guelph Transit southbound,WELLINGTON STREET EAST,43.560555,-80.199928,,,,,,0
417,417,Watson at Dunlop northbound,Watson Parkway South,43.557969,-80.198957,,,,,,0
418,418,Watson at Cargill northbound,Watson Parkway South,43.559033,-80.202853,,,,,,0
419,419,Watson at Taggart northbound,Watson Parkway South,43.56008,-80.205925,,,,,,0
420,420,York at Watson westbound,York Road,43.561528,-80.210798,,,,,,0
422,422,York at Cityview westbound,York Road,43.557036,-80.216997,,,,,,0
424,424,York at Victoria westbound,FERGUSON STREET,43.551535,-80.224532,,,,,,0
425,425,York at Brockville westbound,York Road,43.54903,-80.227889,,,,,,0
426,426,York at Harris westbound,York Road,43.547537,-80.229905,,,,,,0
427,427,Ontario at Huron westbound,Ontario Street,43.545621,-80.233046,,,,,,0
428,428,Ontario at Manitoba westbound,Ontario Street,43.54483,-80.237181,,,,,,0
429,429,Ontario at Neeve westbound,Ontario Street,43.544258,-80.240207,,,,,,0
501,501,Gordon at Nottingham southbound,Gordon Street,43.541823,-80.24806,,,,,,0
516,516,Summerfield at Amsterdam southbound,Summerfield Drive,43.517582,-80.190917,,,,,,0
517,517,Summerfield at Cummings southbound,Summerfield Drive,43.51552,-80.18855,,,,,,0
518,518,Summerfield at Bright eastbound,Summerfield Drive,43.516422,-80.184692,,,,,,0
519,519,Summerfield at Victoria eastbound,Summerfield Drive,43.519813,-80.18006,,,,,,0
520,520,Frederick at Waterford westbound,Frederick Drive,43.514916,-80.175535,,,,,,0
521,521,Goodwin at Ray westbound,Goodwin Drive,43.511751,-80.177128,,,,,,0
522,522,Goodwin at Wilkie westbound,Goodwin Drive,43.508801,-80.181028,,,,,,0
523,523,Goodwin at Sinclair westbound,Goodwin Drive,43.505968,-80.184808,,,,,,0
524,524,Goodwin at Darling westbound,Goodwin Drive,43.504278,-80.186637,,,,,,0
525,525,Goodwin at Eugene westbound,Goodwin Drive,43.503155,-80.187971,,,,,,0
526,526,Farley at Eugene northbound,Farley Drive,43.504064,-80.190238,,,,,,0
528,528,Gordon at Lowes northbound,GORDON STREET,43.509006,-80.19558,,,,,,0
529,529,Gordon at Heritage northbound,Gordon Street,43.511014,-80.196427,,,,,,0
543,543,Gordon at Wellington northbound,Gordon Street,43.541025,-80.245226,,,,,,0
544,544,Gordon at Nottingham northbound,Gordon Street,43.541829,-80.24756,,,,,,0
547,547,Victoria at Katemore southbound,Victoria Road South,43.517582,-80.176815,,,,,,0
602,602,Gordon at Harvard southbound,Gordon Street,43.525454,-80.221153,,,,,,0
603,603,Harvard at Harrow westbound,Harvard Road,43.523995,-80.223326,,,,,,0
604,604,Harvard at Princeton westbound,Harvard Road,43.520667,-80.228318,,,,,,0
605,605,Harvard at Youngman southbound,Harvard Road,43.518156,-80.228391,,,,,,0
608,608,Scottsdale at Stone southbound,Scottsdale Drive,43.514751,-80.238501,,,,,,0
609,609,Scottsdale at Ironwood southbound,Scottsdale Drive,43.512997,-80.23517,,,,,,0
610,610,Ironwood at Steffler Park southbound,Ironwood Road,43.511112,-80.235055,,,,,,0
611,611,Ironwood at Cole southbound,Ironwood Road,43.508896,-80.232972,,,,,,0
612,612,Ironwood at Woodborough southbound,Ironwood Road,43.507095,-80.22987,,,,,,0
613,613,Ironwood at Hilldale southbound,Ironwood Road,43.505682,-80.227244,,,,,,0
614,614,367 Ironwood northbound,367 Ironwood Road,43.507496,-80.225659,,,,,,0
615,615,Ironwood at Kortright northbound,Ironwood Road,43.509869,-80.227979,,,,,,0
616,616,Scottsdale at Steffler northbound,Scottsdale Drive,43.512324,-80.232137,,,,,,0
617,617,Scottsdale at Cole northbound,Scottsdale Drive,43.513822,-80.236957,,,,,,0
618,618,Scottsdale at Stone northbound,Scottsdale Drive,43.514739,-80.238217,,,,,,0
621,621,Stone at Edinburgh eastbound,Stone Road West,43.519491,-80.23419,,,,,,0
622,622,Youngman at Harvard eastbound,Youngman Drive,43.517722,-80.228487,,,,,,0
623,623,Harvard at Princeton eastbound,Harvard Road,43.520724,-80.228066,,,,,,0
624,624,Harvard at Rickson eastbound,Harvard Road,43.522459,-80.225738,,,,,,0
625,625,Harvard at Harrow eastbound,Harvard Road,43.52421,-80.221743,,,,,,0
703,703,Kortright at Yewholme westbound,Kortright Road West,43.52037,-80.214822,,,,,,0
704,704,Kortright at Rickson westbound,Kortright Road West,43.517057,-80.216554,0,,,,,0
705,705,Kortright at Edinburgh westbound,Kortright Road West,43.513539,-80.221261,,,,,,0
706,706,Kortright at Scottsdale westbound,Kortright Road West,43.510639,-80.227102,,,,,,0
707,707,Kortright at Ironwood westbound,Kortright Road West,43.509246,-80.230735,,,,,,0
708,708,Kortright at Hanlon westbound,Kortright Road West,43.507003,-80.233794,,,,,,0
709,709,Downey at Woodland Glen westbound,Downey Road,43.505417,-80.236733,,,,,,0
710,710,Niska at Tanager westbound,Niska Road,43.504418,-80.242251,,,,,,0
711,711,Ptarmigan at Niska southbound,Ptarmigan Drive,43.503292,-80.246066,,,,,,0
712,712,Ptarmigan at Pheasant Run southbound,Ptarmigan Drive,43.499654,-80.244161,,,,,,0
713,713,Ptarmigan at Downey eastbound,Ptarmigan Drive,43.499775,-80.237982,,,,,,0
714,714,Downey at Hazelwood northbound,82 Downey Road,43.50235,-80.239051,,,,,,0
715,715,Downey at Niska eastbound,Downey Road,43.504889,-80.237959,,,,,,0
716,716,Kortright at Hanlon eastbound,Kortright Road West,43.506934,-80.233541,,,,,,0
717,717,Kortright at Ironwood eastbound,Kortright Road West,43.509026,-80.230683,,,,,,0
718,718,Kortright at Preservation Park eastbound,Kortright Road West,43.511209,-80.224259,,,,,,0
720,720,Kortright at Rickson eastbound,Kortright Road West,43.516551,-80.216887,,,,,,0
721,721,Kortright at Yewholme eastbound,Kortright Road West,43.519763,-80.214803,0,,,,,0
801,801,Wyndham at Fountain southbound,Wyndham Street South,43.543416,-80.245865,0,,,,,0
802,802,Wellington at Wyndham westbound,Wellington Street East,43.542282,-80.243956,0,,,,,0
808,808,Edinburgh at Maplewood southbound,Edinburgh Road South,43.527423,-80.244515,,,,,,0
813,813,Stone Road Mall Platform 1,Scottsdale Drive,43.518749,-80.239206,,,,,,0
815,815,268 Scottsdale northbound,268 Scottsdale Drive,43.521752,-80.241999,,,,,,0
816,816,Scottsdale at College northbound,Scottsdale Drive,43.523259,-80.243572,,,,,,0
